OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
56,56,56,16.800000004470348,5.539999998398125,0.0080000,0.2821915,0.3341824,0.3758782,0.2812362,0.2946388,0.3257996,0.4318857,0.4738323,0.4982468,0.2777232,0.2881283,0.3131600,woody
57,57,57,11.999999998137355,4.349999999813735,0.0080000,0.1345205,0.1933701,0.2483250,0.2238626,0.2580836,0.2788962,0.3287551,0.3773628,0.4184676,0.2331378,0.2641613,0.2817460,woody
58,58,58,17.199999997392297,2.839999999050051,0.0200000,0.0091954,0.0091954,0.0164926,0.1612593,0.1612593,0.1681656,0.2293210,0.2293210,0.2351535,0.1771568,0.1771568,0.1837820,woody
59,59,59,11.799999993294477,2.639999999422580,0.0133333,0.1988616,0.1514795,0.3109870,0.2568586,0.2343819,0.3051643,0.3767099,0.3430857,0.4575570,0.2609254,0.2434284,0.2991877,woody
60,60,60,9.999999992549419,2.590000000447035,0.0150000,0.1985857,0.1985857,0.3003637,0.2500006,0.2500006,0.2899934,0.3761155,0.3761155,0.4524777,0.2550254,0.2550254,0.2883355,woody
61,61,61,27.000000007450581,5.559999999087304,0.0066667,0.1278411,0.0662437,0.2786804,0.2196457,0.1965005,0.2842030,0.3222169,0.2760534,0.4352031,0.2292305,0.2108190,0.2826136,woody
62,62,62,11.199999997392297,3.989999999608844,0.0066667,0.1234519,0.0774146,0.2344645,0.2145846,0.1900625,0.2663751,0.3180927,0.2816272,0.4026039,0.2239914,0.2043021,0.2681788,woody
63,63,63,13.400000004097819,4.140000000726431,0.0133333,0.0918383,0.0612103,0.2055556,0.1948235,0.1845662,0.2395038,0.2875987,0.2647241,0.3737800,0.2037551,0.1952942,0.2417814,woody
64,64,64,47.999999992549419,19.879999998379500,0.0094118,0.3161683,0.3002864,0.5183652,0.3093248,0.2949405,0.4124538,0.4652697,0.4501460,0.6042634,0.3051353,0.2967994,0.3830119,woody
65,65,65,9.800000000745058,2.800000000465661,0.0200000,0.1782700,0.1478988,0.2822736,0.2464965,0.2390796,0.2801376,0.3586881,0.3385659,0.4281116,0.2512265,0.2464484,0.2742896,woody
66,66,66,16.200000002980232,4.699999999627471,0.0120000,0.2295168,0.2297900,0.3263254,0.2725113,0.2700419,0.3187747,0.4025213,0.4020319,0.4742189,0.2756329,0.2729363,0.3133602,woody
67,67,67,10.599999997764826,2.199999999534339,0.0050000,0.0981409,0.0981409,0.2000875,0.2011569,0.2011569,0.2458027,0.2984308,0.2984308,0.3788944,0.2122234,0.2122234,0.2518931,woody
68,68,68,19.400000000372529,9.000000000000000,0.0122222,0.2395320,0.2641878,0.4074468,0.2666739,0.2881816,0.3351443,0.4039434,0.4277996,0.5268321,0.2679137,0.2807739,0.3235294,woody
69,69,69,19.400000011548400,4.179999999497086,0.0150000,0.0851813,0.0749261,0.1133519,0.2086781,0.2028460,0.2218909,0.2945497,0.2837519,0.3187809,0.2229626,0.2184578,0.2355925,woody
70,70,70,23.800000002607703,8.729999999031424,0.0042857,0.2973613,0.2497482,0.4168233,0.2894065,0.2881905,0.3717107,0.4465665,0.4164622,0.5406234,0.2865818,0.2936443,0.3560691,woody
71,71,71,12.000000000000000,3.059999999925494,0.0125000,0.1319573,0.1176286,0.2596566,0.2063071,0.2042072,0.2463721,0.3199645,0.3107173,0.4097869,0.2144625,0.2132610,0.2457688,woody
72,72,72,16.399999996647239,4.300000000745058,0.0100000,0.1324560,0.1245309,0.2700483,0.2177429,0.2174793,0.2720185,0.3234777,0.3182518,0.4284162,0.2263561,0.2268971,0.2724917,woody
73,73,73,14.400000004097819,4.110000001043081,0.0050000,0.1993685,0.1993776,0.3684975,0.2488794,0.2478128,0.3329830,0.3762841,0.3779275,0.5062583,0.2533620,0.2535775,0.3256996,woody
74,74,74,12.599999997764826,2.910000000111759,0.0100000,0.0528492,0.0528492,0.0778547,0.1880619,0.1880619,0.1973666,0.2660730,0.2660730,0.2850660,0.2028598,0.2028598,0.2104996,woody
75,75,75,8.799999998882413,2.530000000614673,0.0100000,0.1164183,0.1164183,0.1610613,0.2184692,0.2184692,0.2444707,0.3142330,0.3142330,0.3514571,0.2284763,0.2284763,0.2525526,woody
